"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"silver_rep1"	"silver_rep2"	"silver_rep3"	"silver_rep4"	"silver_rep5"	"silver_rep6"	"yellow_rep1"	"yellow_rep2"	"yellow_rep3"	"yellow_rep4"	"yellow_rep5"	"yellow_rep6"
"89"	"TRINITY_DN1018_c2_g1"	-0.76416637119625	4.80243299749869	-3.42272265694793	0.00434205101648569	0.0200550219689553	-2.62412542742467	1443	1282	1665	1751	1380	750	711	236	511	619	825	839
"90"	"TRINITY_DN10182_c0_g1"	0.624107004094477	3.90290846658202	2.8585600717005	0.0130583541918079	0.0431778679773351	-3.5687885236896	616	440	417	386	554	422	493	694	595	460	565	363
"91"	"TRINITY_DN1019_c1_g1"	0.740620736631992	3.39119146843517	5.09563594538998	0.000184681334066873	0.00263646852889792	0.754049312475939	296	313	433	343	287	267	397	386	325	297	392	398
"92"	"TRINITY_DN10191_c0_g1"	0.532960205051278	4.37431503668583	3.85306018874635	0.00188199476670724	0.0113020699972885	-1.73198081655953	818.51	722.91	605.64	608.7	609.74	598.78	835	739.92	685.95	672	699.94	600.93
"93"	"TRINITY_DN10192_c0_g1"	0.856838848618585	3.16445379607462	6.4595220163941	1.8158360254126e-05	0.00076626473218139	3.11770289819363	308	286	279	259	241	211	324	286	317	314	384	308
"94"	"TRINITY_DN101933_c0_g1"	-1.19010630675548	2.07616502491372	-5.71175758527712	6.27367273902935e-05	0.00142850427623358	1.97553693355307	302	258	218	277	261	220	102	34	40	101	80	120
"95"	"TRINITY_DN10195_c0_g1"	1.47107098368003	0.344554157321421	3.34318142734667	0.00507170653544222	0.0223395144554028	-2.15629577990154	17	27	32	62	27	28	40	99	45	53	105	27
"96"	"TRINITY_DN10198_c0_g1"	-2.57172318808848	-1.37590987592166	-3.69304306539021	0.00256524173583393	0.0139514580292664	-1.36402018286184	27	28	60	22	128	17	2	4	14	4	1	4
"97"	"TRINITY_DN10199_c0_g1"	-1.56961182383261	0.794868233725539	-4.48314782483759	0.000567607784766922	0.00511343653898555	-0.0819046013321776	136	117	119	122	141	96	47	10	8	18	37	85
"98"	"TRINITY_DN102_c3_g1"	-1.32721404612527	-0.0324732634517326	-4.04402574991621	0.00130363142738353	0.00884544728655656	-0.819076971968971	65	65	66	69	83	32	31	19	8	8	26.01	13
"99"	"TRINITY_DN10201_c0_g1"	1.73013787649592	1.27121364986784	4.71653935313509	0.000368007340492333	0.00392842480160003	0.293758333535767	59	99	56	54	50	20	97	140	151	170	92	75
"100"	"TRINITY_DN10202_c0_g1"	-3.28636147137467	-0.174368542756373	-6.7380385133286	1.16700558698294e-05	0.00063116305510556	3.48172188908253	187	93	87	170	124	56	23	11	1	3	6	9
"101"	"TRINITY_DN10204_c0_g1"	-2.16862594589434	-1.63119894889984	-3.73211692672941	0.00237803201423635	0.0132577327776507	-1.29514216016392	53	29	15	28	15	35	1	8	6	1	4	6
"102"	"TRINITY_DN10205_c0_g1"	-0.298983674987473	6.77304295423622	-2.87272541075737	0.0127037539294101	0.0422984816570108	-3.99682152539924	3623	4483	4241	4530	3773	4316	3716	2770	3244	2638	2725	2772
"103"	"TRINITY_DN1021_c0_g1"	0.681350209858501	7.49116422503758	5.87490885458826	4.75514150620246e-05	0.00124027392646102	1.58935476182681	5054.96	4852.22	4484.39	5325.94	5202.12	3952.4	6970.07	9404.71	8973.78	7586.06	6076.81	6296.73
"104"	"TRINITY_DN10216_c1_g1"	2.15848625006195	-1.10519890494903	4.22597352593945	0.00092152236528142	0.00699103020488338	-0.450596841781326	6	5	7	15	18	9	13	47	26	37	15	30
"105"	"TRINITY_DN10217_c1_g1"	1.08071994792729	2.34684226865555	2.94462876361042	0.0110449713824863	0.0383397126580558	-3.15920143617408	86.17	221.19	174.96	104.17	109.12	172.2	152.87	200.51	302.78	353.71	134.14	130.62
"106"	"TRINITY_DN10218_c0_g1"	1.15588047394086	2.47874288178127	6.62309878501539	1.39879993004417e-05	0.000675399722174751	3.42967440707467	157	141	118	132	211	142	234	163	242	174	253	261
"107"	"TRINITY_DN10220_c0_g1"	-1.29744985589166	-0.675270109360962	-2.79593674123446	0.0147460806879169	0.0471027807340185	-3.01798383916605	59	26	29	47	42	39	31	18	5	2	8	13
"108"	"TRINITY_DN10227_c0_g1"	-1.81798128184718	0.892542549160846	-4.61119567186809	0.000447148656082468	0.00441227837691504	0.143676922319845	119	143	97	90	146	316	34	44	20	17	24	21
"109"	"TRINITY_DN10229_c0_g1"	-2.39706882197728	-1.13792986272058	-5.60565603930148	7.5275977213317e-05	0.00159430785420398	1.75525296041054	45	25	32	69	53	40	5	1	2	6	3.47	14
"110"	"TRINITY_DN1023_c0_g1"	1.00109135011598	0.990644406557764	3.15749067111545	0.00729041065104991	0.0287566655854236	-2.58048474726785	46	62	62	76	23	94	75	94	50	72	68	84
"111"	"TRINITY_DN1023_c0_g2"	0.821537999128371	4.78434372697939	3.73665885822936	0.00235719089245567	0.0131876556770913	-2.02317635297749	627	843	942	904	473	1092	1100	1376	740	833	1131	1188
"112"	"TRINITY_DN10230_c0_g1"	1.06561085921065	1.60246061421018	2.89648801416379	0.0121300689579758	0.0409173872002745	-3.14492250431263	65	93	105	31	88	191	95	75	163	97	124	154
"113"	"TRINITY_DN10233_c0_g2"	-1.13535651402959	-0.749989762135846	-4.2657321291314	0.00085461748824219	0.00668784675129754	-0.388623085389459	39	44	41	38	30	21	16	9	9	8	7	12
"114"	"TRINITY_DN10246_c0_g1"	-1.66786526044104	-0.35203739195542	-4.71314634013893	0.000370315678889806	0.00394084382844786	0.380405391883446	68	92	36	51	66	39	11	5	5	17	8	29
"115"	"TRINITY_DN10249_c0_g1"	2.03529202207941	-0.574883463414065	4.6057297128942	0.000451707305326564	0.00444225801454662	0.197496216062249	21	5	11	16	26	12	43	34	44	24	56	21
"116"	"TRINITY_DN1025_c0_g1"	-0.386779667538298	5.85755058320856	-3.57369550336276	0.00323499401792552	0.016354916001812	-2.50351372455154	2818.53	2354.02	2277.03	2181	2129.79	2368	1705	1083.54	1245	1277.28	1477.76	2168.08
"117"	"TRINITY_DN10251_c0_g1"	0.402419353349631	7.56813765232079	4.24910902306743	0.000881961231224892	0.0068006169366811	-1.43398682955199	5922.93	5712.96	4898.92	6248.89	5870	4597.15	6934	6955.01	7039.11	8732.34	6315.89	6419.16
"118"	"TRINITY_DN10259_c0_g1"	0.587944509059152	4.97289821310622	4.13516584138827	0.0010952768806699	0.00782630780629082	-1.28175390783244	949	1136	874	1185	816	826	1025	955	1402	1117	996	1192
"119"	"TRINITY_DN102649_c0_g1"	3.0043225781416	-0.987484789837787	3.96706010456368	0.00151102036815831	0.00972779323127634	-0.898690072806848	16	0	1	40	23	10	30	31	37	34	36	56
"120"	"TRINITY_DN10265_c0_g1"	-1.03287275866125	1.938758894699	-5.19298081868531	0.000155184163609752	0.00239432266126753	1.08980100388287	226	198	196	202	245	255	90	42	52	52	74	137
"121"	"TRINITY_DN10266_c0_g1"	1.02551531484244	2.19557901564622	4.23751303976665	0.000901567036720128	0.00689340830555347	-0.684906822152425	139	143	87	142	120	136	136	223	136	208	214	137
"122"	"TRINITY_DN1027_c0_g1"	0.683347797748091	5.09165545065166	6.17100872818826	2.9029319680484e-05	0.000957230015927504	2.41338830562035	993	1175	955	1030	908	947.98	1280	1346	1185.28	1315.06	1176	1182
"123"	"TRINITY_DN1027_c0_g2"	0.834661968639981	2.3233166400104	4.31966065151096	0.000771762418295118	0.00626974841923428	-0.54666080027767	150	161	137	167	139	132.02	203	199	178.72	184.94	158	138
"124"	"TRINITY_DN10272_c0_g1"	1.2380663482789	3.05948639116183	4.10626776998219	0.00115736089697828	0.00813361252420496	-1.04210575544715	322	211	251	228	155	148	306	506	399	512	237	241
"125"	"TRINITY_DN10274_c0_g1"	-0.530002077520805	5.90091974461023	-5.42076759555118	0.000103793312275264	0.00191787107254868	0.99812462077786	2566.99	2449	2603	2700	2714.01	2235	1988	1316	985	1372	1325	1832.72
"126"	"TRINITY_DN10277_c0_g1"	1.16310370454135	1.55468179988786	3.82115094403994	0.00200162306758812	0.0118192582371655	-1.39490620911062	54	87	85	75	99	68	104	171	152	119	89	81
